Action, Timestamp
Read from Professor CSV, 2021.05.23 15:02:26
Read from Subject CSV, 2021.05.23 15:02:26
Read from OptionalSubject CSV, 2021.05.23 15:02:26
Read from Group CSV, 2021.05.23 15:02:26
Read from Series CSV, 2021.05.23 15:02:26
Read from Curriculum CSV, 2021.05.23 15:02:26
Read from Student CSV, 2021.05.23 15:03:06
Read from Professor CSV, 2021.05.23 15:03:06
Read from Subject CSV, 2021.05.23 15:03:06
Read from OptionalSubject CSV, 2021.05.23 15:03:06
Read from Group CSV, 2021.05.23 15:03:06
Read from Series CSV, 2021.05.23 15:03:06
Read from Curriculum CSV, 2021.05.23 15:03:06
Read from Student CSV, 2021.05.23 15:04:38
Read from Professor CSV, 2021.05.23 15:04:38
Read from Subject CSV, 2021.05.23 15:04:38
Read from OptionalSubject CSV, 2021.05.23 15:04:38
Read from Group CSV, 2021.05.23 15:04:38
Read from Series CSV, 2021.05.23 15:04:38
Read from Curriculum CSV, 2021.05.23 15:04:38
Read from Student CSV, 2021.05.23 15:05:14
Read from Professor CSV, 2021.05.23 15:05:14
Read from Subject CSV, 2021.05.23 15:05:14
Read from OptionalSubject CSV, 2021.05.23 15:05:14
Read from Group CSV, 2021.05.23 15:05:14
Read from Series CSV, 2021.05.23 15:05:14
Read from Curriculum CSV, 2021.05.23 15:05:14
Read from Student CSV, 2021.05.23 15:06:12
Read from Professor CSV, 2021.05.23 15:06:12
Read from Subject CSV, 2021.05.23 15:06:12
Read from OptionalSubject CSV, 2021.05.23 15:06:12
Read from Group CSV, 2021.05.23 15:06:12
Read from Series CSV, 2021.05.23 15:06:12
Read from Curriculum CSV, 2021.05.23 15:06:12
Read from Student CSV, 2021.05.23 15:06:42
Read from Professor CSV, 2021.05.23 15:06:42
Read from Subject CSV, 2021.05.23 15:06:42
Read from OptionalSubject CSV, 2021.05.23 15:06:42
Read from Group CSV, 2021.05.23 15:06:42
Read from Series CSV, 2021.05.23 15:06:42
Read from Curriculum CSV, 2021.05.23 15:06:42
Read from Student CSV, 2021.05.23 15:07:07
Read from Professor CSV, 2021.05.23 15:07:07
Read from Subject CSV, 2021.05.23 15:07:07
Read from OptionalSubject CSV, 2021.05.23 15:07:07
Read from Group CSV, 2021.05.23 15:07:07
Read from Series CSV, 2021.05.23 15:07:07
Read from Curriculum CSV, 2021.05.23 15:07:07
Read from Student CSV, 2021.05.23 15:07:42
Read from Professor CSV, 2021.05.23 15:07:42
Read from Subject CSV, 2021.05.23 15:07:42
Read from OptionalSubject CSV, 2021.05.23 15:07:42
Read from Group CSV, 2021.05.23 15:07:42
Read from Series CSV, 2021.05.23 15:07:42
Read from Curriculum CSV, 2021.05.23 15:07:42
Read from Student CSV, 2021.05.23 15:07:56
Read from Professor CSV, 2021.05.23 15:07:56
Read from Subject CSV, 2021.05.23 15:07:56
Read from OptionalSubject CSV, 2021.05.23 15:07:56
Read from Group CSV, 2021.05.23 15:07:56
